This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/5/15 05:25:57

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-18.28,.42,-.37,1.56,+0.77%,($20.00),($20.00),($484.30)
APPLE INC COM,0,,.00,119.40,+.75,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,44,6.45,6.70,+.70,-67.08,-3.35,4.09,-15.12,,($25.00),($70.00),
100 MAR 15 120 CALL,+1,44,3.80,3.85,+.50,48.80,3.77,-4.46,16.68,,$5.00,$50.00,
BABA,,,,,,31.04,3.83,-3.63,11.13,-0.67%,($25.00),($25.00),$6.90
ALIBABA GROUP HLDG LTD ADR,0,,.00,89.80,-.81,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,44,1.99,1.74,-.25,31.04,3.83,-3.63,11.13,,($25.00),($25.00),
BP,,,,,,69.59,9.82,-.50,3.61,-1.58%,($24.00),($51.00),($258.00)
BP PLC SPONS ADR,0,,.00,40.43,-.67,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,44,1.01,.88,-.29,246.91,76.36,-6.62,32.86,,($78.00),($174.00),
100 MAR 15 42 CALL,-6,44,.65,.56,-.205,-177.31,-66.54,6.12,-29.25,,$54.00,$123.00,
DIS,,,,,,.00,.00,.00,.00,+7.63%,$0.00,$112.00,$0.00
WALT DISNEY CO COM,0,,.00,101.20,+7.10,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 90 PUT,0,44,.00,.335,-.94,.00,.00,.00,.00,,$0.00,($187.00),
100 MAR 15 92.5 PUT,0,44,.00,.52,-1.505,.00,.00,.00,.00,,$0.00,$299.00,
EBAY,,,,,,-40.44,-5.93,1.12,-4.58,-1.00%,$32.00,$24.00,($447.55)
EBAY INC COM,0,,.00,53.59,-.66,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,44,1.33,.995,-.24,-75.55,-19.25,3.36,-14.30,,$67.00,$48.00,
100 MAR 15 57.5 CALL,+2,44,.53,.355,-.12,35.11,13.32,-2.24,9.72,,($35.00),($24.00),
EWU,+200,,18.33,18.48,-.17,200.00,.00,.00,.00,-0.91%,$30.00,($34.00),"$3,141.60"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.48,-.17,200.00,.00,.00,.00,,$30.00,($34.00),
FB,,,,,,27.95,-.85,.06,-.93,+0.31%,($7.50),($7.50),($468.45)
FACEBOOK INC COM,0,,.00,75.61,+.21,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,44,1.54,1.515,-.19,-31.10,4.92,-2.79,9.38,,($2.50),($2.50),
100 MAR 15 77.5 PUT,-1,44,3.70,3.75,-.275,59.05,-5.77,2.86,-10.31,,($5.00),($5.00),
FSLR,,,,,,19.28,-.68,.52,-.97,-2.45%,($31.00),($31.50),($366.12)
FIRST SOLAR INC COM,0,,.00,46.98,-1.18,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,44,1.81,2.05,+.26,-28.44,3.30,-3.84,5.60,,$24.00,$26.00,
100 MAR 15 47.5 PUT,-1,44,3.70,4.25,+.575,47.72,-3.98,4.37,-6.56,,($55.00),($57.50),
GE,,,,,,224.00,241.67,-3.58,25.22,-1.27%,($45.00),($45.00),($0.29)
GENERAL ELECTRIC CO COM,0,,.00,24.11,-.36,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,44,.20,.155,-.08,224.00,241.67,-3.58,25.22,,($45.00),($45.00),
GLD,,,,,,30.03,-.89,.34,-2.37,+0.44%,$32.00,$34.00,($1.00)
SPDR GOLD TR GOLD SHS ETF,0,,.00,121.67,+.62,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,44,4.35,4.65,+.375,129.56,9.41,-6.61,31.71,,$60.00,$75.00,
100 MAR 15 122 CALL,-2,44,2.81,2.95,+.205,-99.53,-10.30,6.95,-34.07,,($28.00),($41.00),
IBM,,,,,,39.41,5.88,-5.38,30.58,-0.95%,($31.00),($53.00),($22.83)
INTL BUSINESS MACHINES COM,0,,.00,156.96,-1.51,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,44,1.16,1.005,-.265,39.41,5.88,-5.38,30.58,,($31.00),($53.00),
JPM,,,,,,35.30,-6.65,.64,-3.90,-0.60%,$26.60,($9.37),($442.64)
JP MORGAN CHASE & CO COM,0,,.00,56.28,-.44,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,44,.76,.547,+.052,-40.02,11.94,-3.07,11.07,,($42.60),$10.40,
100 MAR 15 55 PUT,-2,44,1.46,1.1139889,+.0988379,75.32,-18.58,3.72,-14.97,,$69.20,($19.77),
KO,,,,,,133.65,45.65,-3.05,17.28,+0.12%,$18.00,$7.50,$0.02
COCA COLA CO COM,0,,.00,41.68,+.05,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,44,.78,.84,+.025,133.65,45.65,-3.05,17.28,,$18.00,$7.50,
PG,,,,,,67.06,-8.60,1.49,-10.87,-0.19%,$20.00,($12.50),"$7,292.39"
PROCTER GAMBLE CO COM,+100,,85.74,85.78,-.17,100.00,.00,.00,.00,,$4.00,($17.00),
100 MAR 15 87.5 CALL,-1,44,1.05,.89,-.045,-32.94,-8.60,1.49,-10.87,,$16.00,$4.50,
SNDK,,,,,,-65.05,-4.32,3.60,-10.11,-0.97%,($34.50),$53.00,"($8,978.35)"
SANDISK CORP COM,-100,,76.95,77.89,-.77,-100.00,.00,.00,.00,,($94.00),$77.00,
100 MAR 15 75 PUT,-1,44,2.74,2.145,+.24,34.95,-4.32,3.60,-10.11,,$59.50,($24.00),
SPY,,,,,,17.30,-.82,-.01,-3.35,-0.38%,$46.50,($18.00),($519.88)
SPDR TR S&P 500 ETF TR,0,,.00,203.40,-1.44,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,44,4.43,3.335,+.46,-108.93,8.68,-16.96,80.29,,($328.50),$138.00,
100 MAR 15 201 PUT,-3,44,5.18,3.93,+.52,126.23,-9.50,16.95,-83.63,,$375.00,($156.00),
TSLA,,,,,,5.53,-.05,.98,-1.68,+0.09%,$45.00,($60.00),($215.00)
TESLA MOTORS INC COM,0,,.00,218.34,-.02,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,44,13.95,21.40,-.475,68.15,1.01,-14.12,27.35,,$745.00,($47.50),
100 MAR 15 210 CALL,-1,44,11.55,18.55,+.125,-62.62,-1.06,15.10,-29.03,,($700.00),($12.50),
USLV,+100,,24.95,24.71,+.39,100.00,.00,.00,.00,+1.60%,($24.00),$39.00,"$2,100.35"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,24.71,+.39,100.00,.00,.00,.00,,($24.00),$39.00,
VXX,,,,,,46.32,3.99,-4.41,4.82,+2.74%,$32.50,$60.50,$109.76
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,34.55,+1.31,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,44,2.67,2.995,+.605,46.32,3.99,-4.41,4.82,,$32.50,$60.50,
WFC,,,,,,47.50,-10.45,.42,-3.93,-0.13%,$39.00,($8.00),($475.72)
WELLS FARGO & CO COM,0,,.00,52.95,-.50,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 50 PUT,+2,44,.68,.465,+.01,-42.07,15.34,-2.55,10.74,,($43.00),$2.00,
100 MAR 15 52.5 PUT,-2,44,1.48,1.07,+.05,89.57,-25.80,2.97,-14.67,,$82.00,($10.00),
XOM,,,,,,-79.66,-3.56,2.62,-9.06,-0.86%,($256.50),$86.50,"($10,498.62)"
EXXON MOBIL CORPORATION COM,-100,,87.05,91.29,-.96,-100.00,.00,.00,.00,,($424.00),$96.00,
100 MAR 15 85 PUT,-1,44,2.62,.945,+.095,20.34,-3.56,2.62,-9.06,,$167.50,($9.50),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/NG,,,+1,,2.68,2.67,+.008,-3.05%,($100.00),$80.00,"($4,235.00)"
