This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/26/15 05:34:00

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
SNDK,,,,,,-77.08,-5.21,3.72,-6.15,-1.16%,($16.50),$78.00,"($9,089.80)"
SANDISK CORP COM,-100,,76.95,79.05,-.92,-100.00,.00,.00,.00,,($210.00),$92.00,
100 MAR 15 75 PUT,-1,23,2.74,.805,+.14,22.92,-5.21,3.72,-6.15,,$193.50,($14.00),
SPY,,,,,,-22.11,1.58,-.70,9.42,-0.08%,($57.50),$4.00,$14.89
SPDR TR S&P 500 ETF TR,0,,.00,211.58,-.23,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 200 PUT,-1,51,2.42,1.435,+.045,18.78,-2.00,3.64,-21.54,,$98.50,($4.50),
100 APR 15 209 PUT,+1,51,4.85,3.29,+.085,-40.89,3.58,-4.34,30.97,,($156.00),$8.50,
TSLA,,,,,,10.42,.06,-.79,.82,-0.17%,($30.00),($5.00),$135.00
TESLA MOTORS INC COM,0,,.00,203.73,-.38,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,23,13.95,6.925,-.525,49.23,2.12,-15.70,20.83,,($702.50),($52.50),
100 MAR 15 210 CALL,-1,23,11.55,4.825,-.475,-38.81,-2.06,14.91,-20.01,,$672.50,$47.50,
USLV,+100,,24.95,20.75,+1.04,100.00,.00,.00,.00,+5.28%,($420.00),$104.00,"$1,763.75"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.75,+1.04,100.00,.00,.00,.00,,($420.00),$104.00,
VNQ,+40,,84.93,83.63,+.02,40.00,.00,.00,.00,+0.02%,($52.00),$0.80,"$2,843.42"
VANGUARD REIT ETF INDEX,+40,,84.93,83.63,+.02,40.00,.00,.00,.00,,($52.00),$0.80,
VXX,,,,,,13.35,3.42,-2.83,1.55,+0.50%,($228.50),$8.00,$1.00
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,28.15,+.19,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,23,2.67,.385,+.08,13.35,3.42,-2.83,1.55,,($228.50),$8.00,
XOM,,,,,,-84.67,-5.17,2.37,-5.45,+0.20%,($30.50),($11.50),"($10,301.72)"
EXXON MOBIL CORPORATION COM,-100,,87.05,89.60,+.18,-100.00,.00,.00,.00,,($255.00),($18.00),
100 MAR 15 85 PUT,-1,23,2.62,.375,-.065,15.33,-5.17,2.37,-5.45,,$224.50,$6.50,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008415,+.000002,+0.02%,$325.00,$25.00,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,19,.008389,.008415,+.000002,,$325.00,$25.00,
/NQ,,,-1,,4153.50,4437.50,-12.75,-0.29%,"($5,680.00)",$255.00,"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,23,4153.50,4437.50,-12.75,,"($5,680.00)",$255.00,
/QM,,,,,,,,+3.75%,"($3,287.50)",$17.50,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,-6,44.55,51.125,-.035,,"($3,287.50)",$17.50,

Cash & Sweep Vehicle,"$31,041.90"
OVERALL P/L YTD,"($5,207.09)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$22,405.12"
AVAILABLE DOLLARS,"$22,405.12"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,0,.00,1.0673,-.001,0.00%,$0.00,$0.00,$0.00
AusDollar/Singapore Dollar Spot,0,.00,1.06730,-.001,,$0.00,$0.00,
GBP/USD,+10000,1.545194,1.55254,+.005385,+0.46%,$56.90,$52.75,($238.15)
GBPound/US Dollar Spot,+10000,1.545194,1.55254,+.005385,,$56.90,$52.75,
HKD/JPY,+10000,15.33812,15.321,+.0172,0.00%,($4.10),$0.98,($130.75)
HKDollar/Japanese Yen Spot,+10000,15.33812,15.32100,+.0172,,($4.10),$0.98,
NZD/SGD,+10000,1.016881,1.02058,-.00017,0.00%,($30.21),($3.84),($352.31)
NZDollar/Singapore Dollar Spot,+10000,1.016881,1.02058,-.00017,,($30.21),($3.84),
USD/INR,+10000,62.1637,62.165,0,0.00%,($8.05),($0.80),($500.60)
USDollar/Indian Rupee Spot,+10000,62.1637,62.1650,0,,($8.05),($0.80),
USD/JPY,+10000,118.9796,118.8495,+.158,-0.11%,($92.12),$12.57,($211.66)
USDollar/Japanese Yen Spot,+10000,118.9796,118.8495,+.158,,($92.12),$12.57,
USD/THB,-10000,32.5038,32.517,-.043,0.00%,($65.56),($9.84),($527.12)
USDollar/Thai Baht,-10000,32.5038,32.517,-.043,,($65.56),($9.84),

FOREX CASH WITH UPL,"$10,432.30"
AVAILABLE DOLLARS,"$8,471.72"
