This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/26/15 05:34:00

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-7.75,1.31,-1.41,3.08,-2.56%,($190.00),$27.50,($505.51)
APPLE INC COM,0,,.00,128.75,-3.42,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,23,6.45,14.075,-3.275,-91.28,-1.26,3.22,-5.05,,($762.50),$327.50,
100 MAR 15 120 CALL,+1,23,3.80,9.525,-3.00,83.53,2.57,-4.62,8.13,,$572.50,($300.00),
AMZN,,,,,,-8.99,.39,-6.57,23.67,+1.79%,($89.35),($37.35),$6.83
AMAZON.COM INC COM,0,,.00,385.40,+6.81,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,51,2.73,1.836507,-.373482,-8.99,.39,-6.57,23.67,,($89.35),($37.35),
BABA,,,,,,9.42,2.71,-2.17,3.71,+1.77%,($172.50),$2.50,($2.08)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.19,+1.50,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,23,1.99,.265,+.025,9.42,2.71,-2.17,3.71,,($172.50),$2.50,
EBAY,,,,,,-51.17,13.70,-2.05,5.52,-0.09%,($226.00),$4.00,($536.00)
EBAY INC COM,0,,.00,58.35,-.05,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,23,1.33,3.525,-.10,-177.19,-13.16,2.42,-5.77,,($439.00),$20.00,
100 MAR 15 57.5 CALL,+2,23,.53,1.595,-.08,126.02,26.86,-4.47,11.29,,$213.00,($16.00),
GILD,,,,,,13.82,.08,-.26,.96,-0.26%,($7.50),($12.50),$45.34
GILEAD SCIENCES INC COM,0,,.00,104.43,-.27,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 105 CALL,+1,79,5.50,5.425,-.125,51.28,2.81,-3.57,19.49,,($7.50),($12.50),
100 MAY 15 110 CALL,-1,79,3.35,3.35,0,-37.46,-2.73,3.32,-18.53,,$0.00,$0.00,
GLD,,,,,,27.73,5.86,-2.31,7.57,+0.38%,($223.00),($3.00),($16.68)
SPDR GOLD TR GOLD SHS ETF,0,,.00,115.68,+.42,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,23,4.35,.69,-.06,50.16,13.54,-6.27,18.88,,($732.00),($12.00),
100 MAR 15 122 CALL,-2,23,2.81,.265,-.045,-22.43,-7.69,3.96,-11.31,,$509.00,$9.00,
GOOG,+4,,531.81,544.00,+7.91,4.00,.00,.00,.00,+1.45%,$48.76,$31.64,"$1,849.60"
GOOGLE INC CLASS C,+4,,531.81,544.00,+7.91,4.00,.00,.00,.00,,$48.76,$31.64,
GREK,+600,,13.1733333,13.67,-.32,600.00,.00,.00,.00,-2.29%,$298.00,($192.00),"$6,971.70"
GLOBAL X FUNDS GREECE 20 ETF,+600,,13.1733333,13.67,-.32,600.00,.00,.00,.00,,$298.00,($192.00),
KO,,,,,,150.80,86.63,-3.02,12.85,-0.19%,($69.00),($22.50),$3.14
COCA COLA CO COM,0,,.00,42.05,-.08,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,23,.78,.55,-.075,150.80,86.63,-3.02,12.85,,($69.00),($22.50),
NGE,+600,,8.39,8.60,-.03,600.00,.00,.00,.00,-0.35%,$126.00,($18.00),"$4,386.00"
GLOBAL X FUNDS MSCI NIGERIA ETF,+600,,8.39,8.60,-.03,600.00,.00,.00,.00,,$126.00,($18.00),
PG,,,,,,81.94,-11.26,1.16,-5.77,-0.05%,$54.50,($0.50),"$7,266.57"
PROCTER GAMBLE CO COM,+100,,85.74,85.46,-.04,100.00,.00,.00,.00,,($28.00),($4.00),
100 MAR 15 87.5 CALL,-1,23,1.05,.225,-.035,-18.06,-11.26,1.16,-5.77,,$82.50,$3.50,
RSX,,,,,,107.90,39.66,-2.56,10.87,+1.85%,($80.00),$20.00,$2.78
MARKET VECTORS RUSSIA,0,,.00,17.64,+.31,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 20 CALL,+4,79,.70,.50,+.05,107.90,39.66,-2.56,10.87,,($80.00),$20.00,
