NGE,GLOBAL X FUNDS MSCI NIGERIA ETF,$126.00,+2.50%,($18.00),$126.00,$774.00,"$5,160.00"
PG,PROCTER GAMBLE CO COM,$54.50,+0.63%,($0.50),$54.50,"$1,256.93","$8,523.50"
RSX,MARKET VECTORS RUSSIA,($80.00),-28.57%,$20.00,$165.00,$197.22,$200.00
SNDK,SANDISK CORP COM,($16.50),-0.21%,$78.00,($16.50),"$1,104.30","($7,985.50)"
SPY,SPDR TR S&P 500 ETF TR,($57.50),-7.91%,$4.00,$83.50,$170.61,$185.50
TSLA,TESLA MOTORS INC COM,($30.00),-1.18%,($5.00),($30.00),$75.00,$210.00
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,($420.00),-16.83%,$104.00,($420.00),$311.25,"$2,075.00"
VNQ,VANGUARD REIT ETF INDEX,($52.00),-1.53%,$0.80,($52.00),$501.78,"$3,345.20"
VXX,BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,($228.50),-85.58%,$8.00,($228.50),$37.50,$38.50
WFC,WELLS FARGO & CO COM,$0.00,0.00%,$0.00,$110.00,$0.00,$0.00
XOM,EXXON MOBIL CORPORATION COM,($30.50),-0.34%,($11.50),($30.50),"$1,304.22","($8,997.50)"
,OVERALL TOTALS,"($9,557.59)",-3.26%,$175.59,"($5,207.09)","$21,596.14","$13,156.85"

Forex Account Summary
Cash,"$10,530.14"
UPL,($97.84)
Floating P/L,$55.73
Equity,"$10,488.03"
Margin,"$2,016.41"
Available Equity,"$8,471.62"
Risk Level,100.00%

Account Summary
Net Liquidating Value,"$44,198.75"
Stock Buying Power,"$22,405.12"
Option Buying Power,"$22,405.12"
Commissions YTD,$583.09
Futures Commissions YTD,$30.07
