This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/25/15 20:35:14

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-3.72,.73,-.05,1.53,0.00%,($217.50),$0.00,($507.79)
APPLE INC COM,0,,.00,131.69,-.48,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,23,6.45,17.35,0,-89.10,-1.11,5.33,-6.12,,"($1,090.00)",$0.00,
100 MAR 15 120 CALL,+1,23,3.80,12.525,0,85.39,1.85,-5.38,7.65,,$872.50,$0.00,
AMZN,,,,,,-11.03,.48,-7.16,26.99,0.00%,($52.10),($0.10),$7.80
AMAZON.COM INC COM,0,,.00,378.58,-.01,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,51,2.73,2.208998,-.000991,-11.03,.48,-7.16,26.99,,($52.10),($0.10),
BABA,,,,,,8.03,2.19,-2.12,3.23,0.00%,($175.00),$0.00,$0.00
ALIBABA GROUP HLDG LTD ADR,0,,.00,84.55,-.14,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,23,1.99,.24,0,8.03,2.19,-2.12,3.23,,($175.00),$0.00,
EBAY,,,,,,-60.58,22.05,-3.46,9.22,0.00%,($230.00),$0.00,($540.00)
EBAY INC COM,0,,.00,58.60,+.20,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,23,1.33,3.625,0,-195.55,-5.67,.49,-1.59,,($459.00),$0.00,
100 MAR 15 57.5 CALL,+2,23,.53,1.675,0,134.97,27.72,-3.95,10.81,,$229.00,$0.00,
GILD,,,,,,14.12,.02,-.30,.90,0.00%,$5.00,$0.00,$54.57
GILEAD SCIENCES INC COM,0,,.00,104.66,-.04,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 105 CALL,+1,79,5.50,5.55,0,51.93,2.80,-3.58,19.52,,$5.00,$0.00,
100 MAY 15 110 CALL,-1,79,3.35,3.35,0,-37.81,-2.77,3.28,-18.62,,$0.00,$0.00,
GLD,,,,,,27.77,5.60,-2.17,7.20,0.00%,($220.00),$0.00,($16.69)
SPDR GOLD TR GOLD SHS ETF,0,,.00,115.80,+.54,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,23,4.35,.75,0,52.64,13.61,-6.56,19.38,,($720.00),$0.00,
100 MAR 15 122 CALL,-2,23,2.81,.31,0,-24.88,-8.01,4.40,-12.18,,$500.00,$0.00,
GOOG,+4,,531.81,535.50,-.59,4.00,.00,.00,.00,0.00%,$14.76,($2.36),"$1,820.70"
GOOGLE INC CLASS C,+4,,531.81,535.50,-.59,4.00,.00,.00,.00,,$14.76,($2.36),
GREK,+600,,13.1733333,13.97,-.02,600.00,.00,.00,.00,0.00%,$478.00,($12.00),"$7,124.70"
GLOBAL X FUNDS GREECE 20 ETF,+600,,13.1733333,13.97,-.02,600.00,.00,.00,.00,,$478.00,($12.00),
KO,,,,,,157.49,81.42,-3.21,12.86,0.00%,($46.50),$0.00,$14.82
COCA COLA CO COM,0,,.00,42.13,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,23,.78,.625,0,157.49,81.42,-3.21,12.86,,($46.50),$0.00,
NGE,+600,,8.39,8.63,0,600.00,.00,.00,.00,0.00%,$144.00,$0.00,"$4,401.30"
