This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/25/15 20:35:14

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
GLOBAL X FUNDS MSCI NIGERIA ETF,+600,,8.39,8.63,0,600.00,.00,.00,.00,,$144.00,$0.00,
PG,,,,,,80.43,-11.34,1.27,-6.06,0.00%,$55.00,$0.00,"$7,269.42"
PROCTER GAMBLE CO COM,+100,,85.74,85.50,0,100.00,.00,.00,.00,,($24.00),$0.00,
100 MAR 15 87.5 CALL,-1,23,1.05,.26,0,-19.57,-11.34,1.27,-6.06,,$79.00,$0.00,
RSX,,,,,,98.78,37.39,-2.48,10.20,0.00%,($100.00),$0.00,$12.50
MARKET VECTORS RUSSIA,0,,.00,17.32,-.01,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 20 CALL,+4,79,.70,.45,0,98.78,37.39,-2.48,10.20,,($100.00),$0.00,
SNDK,,,,,,-80.87,-4.49,3.35,-5.71,0.00%,($94.50),$0.00,"($9,196.29)"
SANDISK CORP COM,-100,,76.95,79.97,0,-100.00,.00,.00,.00,,($302.00),$0.00,
100 MAR 15 75 PUT,-1,23,2.74,.665,0,19.13,-4.49,3.35,-5.71,,$207.50,$0.00,
SPY,,,,,,-22.06,1.62,-.71,9.60,0.00%,($61.50),$0.00,$15.36
SPDR TR S&P 500 ETF TR,0,,.00,211.67,-.14,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 200 PUT,-1,51,2.42,1.39,0,18.43,-1.99,3.57,-21.30,,$103.00,$0.00,
100 APR 15 209 PUT,+1,51,4.85,3.205,0,-40.48,3.61,-4.28,30.91,,($164.50),$0.00,
TSLA,,,,,,9.88,.04,-.76,.67,0.00%,($25.00),$0.00,$140.00
TESLA MOTORS INC COM,0,,.00,203.86,-.25,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,23,13.95,7.45,0,49.75,2.00,-16.67,20.85,,($650.00),$0.00,
100 MAR 15 210 CALL,-1,23,11.55,5.30,0,-39.88,-1.96,15.92,-20.17,,$625.00,$0.00,
USLV,+100,,24.95,20.42,+.71,100.00,.00,.00,.00,0.00%,($453.00),$71.00,"$1,735.70"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.42,+.71,100.00,.00,.00,.00,,($453.00),$71.00,
VNQ,+40,,84.93,83.61,0,40.00,.00,.00,.00,0.00%,($52.80),$0.00,"$2,842.74"
VANGUARD REIT ETF INDEX,+40,,84.93,83.61,0,40.00,.00,.00,.00,,($52.80),$0.00,
VXX,,,,,,11.45,3.24,-2.41,1.39,0.00%,($236.50),$0.00,$0.00
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,27.96,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,23,2.67,.305,0,11.45,3.24,-2.41,1.39,,($236.50),$0.00,
XOM,,,,,,-83.00,-5.36,2.60,-5.81,0.00%,($19.00),$0.00,"($10,283.36)"
EXXON MOBIL CORPORATION COM,-100,,87.05,89.42,0,-100.00,.00,.00,.00,,($237.00),$0.00,
100 MAR 15 85 PUT,-1,23,2.62,.44,0,17.00,-5.36,2.60,-5.81,,$218.00,$0.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008415,+.000002,+0.02%,$325.00,$25.00,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,19,.008389,.008415,+.000002,,$325.00,$25.00,
/NG,,,,,,,,-0.10%,$630.00,$0.00,"($3,520.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,0,2.839,2.902,0,,$630.00,$0.00,
/NQ,,,-1,,4153.50,4443.75,-6.50,-0.15%,"($5,805.00)",$130.00,"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,23,4153.50,4443.75,-6.50,,"($5,805.00)",$130.00,
/QM,,,,,,,,+0.20%,"($3,287.50)",$17.50,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,-6,44.55,51.125,-.035,,"($3,287.50)",$17.50,

Cash & Sweep Vehicle,"$31,121.90"
OVERALL P/L YTD,"($5,073.64)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$22,542.39"
AVAILABLE DOLLARS,"$22,542.39"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,0,.00,1.067775,-.000525,0.00%,$0.00,$0.00,$0.00
AusDollar/Singapore Dollar Spot,0,.00,1.067775,-.000525,,$0.00,$0.00,
GBP/USD,+10000,1.545194,1.548845,+.00169,+0.25%,$19.90,$15.75,($274.41)
GBPound/US Dollar Spot,+10000,1.545194,1.548845,+.00169,,$19.90,$15.75,
HKD/JPY,+10000,15.33812,15.32455,+.02075,0.00%,($3.81),$1.28,($130.80)
HKDollar/Japanese Yen Spot,+10000,15.33812,15.32455,+.02075,,($3.81),$1.28,
NZD/SGD,+10000,1.016881,1.0228,+.00205,0.00%,($13.77),$12.53,($335.93)
NZDollar/Singapore Dollar Spot,+10000,1.016881,1.02280,+.00205,,($13.77),$12.53,
USD/INR,+10000,62.1637,62.165,0,0.00%,($8.05),($0.80),($500.60)
USDollar/Indian Rupee Spot,+10000,62.1637,62.1650,0,,($8.05),($0.80),
USD/JPY,+10000,118.9796,118.855,+.1635,-0.15%,($91.66),$13.11,($211.18)
USDollar/Japanese Yen Spot,+10000,118.9796,118.855,+.1635,,($91.66),$13.11,
USD/THB,-10000,32.5038,32.531,-.029,0.00%,($69.81),($14.13),($531.39)
USDollar/Thai Baht,-10000,32.5038,32.531,-.029,,($69.81),($14.13),

FOREX CASH WITH UPL,"$10,432.35"
AVAILABLE DOLLARS,"$8,448.06"
