This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/4/15 06:05:43

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-18.74,.26,-.18,.86,+0.02%,$0.00,$0.00,($485.21)
APPLE INC COM,0,,.00,118.37,-.26,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,45,6.45,6.00,-.25,-63.59,-3.53,4.10,-15.74,,$45.00,$25.00,
100 MAR 15 120 CALL,+1,45,3.80,3.35,-.25,44.86,3.79,-4.28,16.59,,($45.00),($25.00),
BP,,,,,,75.80,5.76,-.07,1.71,+3.11%,$27.00,$27.00,($207.00)
BP PLC SPONS ADR,0,,.00,41.09,+1.23,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,45,1.01,1.17,+.41,297.92,78.84,-6.49,34.52,,$96.00,$96.00,
100 MAR 15 42 CALL,-6,45,.65,.765,N/A,-222.12,-73.08,6.41,-32.80,,($69.00),($69.00),
DIS,,,,,,17.67,-1.13,1.26,-3.89,+2.36%,$36.00,$36.00,($487.06)
WALT DISNEY CO COM,0,,.00,97.00,+5.07,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 90 PUT,+2,45,1.74,1.275,-.815,-43.38,6.00,-6.34,20.23,,($93.00),($93.00),
100 MAR 15 92.5 PUT,-2,45,2.67,2.025,-1.075,61.05,-7.13,7.60,-24.12,,$129.00,$129.00,
EBAY,,,,,,-44.06,-4.89,.87,-3.78,+1.01%,$8.00,($17.00),($467.05)
EBAY INC COM,0,,.00,54.25,+.54,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,45,1.33,1.235,+.135,-88.12,-20.12,3.39,-15.19,,$19.00,($27.00),
100 MAR 15 57.5 CALL,+2,45,.53,.475,+.05,44.05,15.24,-2.52,11.41,,($11.00),$10.00,
EWU,+200,,18.33,18.65,+.45,200.00,.00,.00,.00,+2.47%,$64.00,$90.00,"$3,170.50"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.65,+.45,200.00,.00,.00,.00,,$64.00,$90.00,
FSLR,,,,,,18.18,-.91,.61,-1.28,+5.89%,$0.50,$0.50,($331.49)
FIRST SOLAR INC COM,0,,.00,48.15,+2.67,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,45,1.81,1.79,-.855,-24.98,2.97,-3.67,5.43,,($2.00),($2.00),
100 MAR 15 47.5 PUT,-1,45,3.70,3.675,-1.45,43.16,-3.88,4.28,-6.71,,$2.50,$2.50,
GLD,,,,,,30.03,-.34,.30,-1.39,-1.12%,($2.00),($39.00),($6.13)
SPDR GOLD TR GOLD SHS ETF,0,,.00,121.05,-1.37,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,45,4.35,4.275,-.90,123.54,9.67,-6.64,32.77,,($15.00),($180.00),
100 MAR 15 122 CALL,-2,45,2.81,2.745,-.705,-93.50,-10.01,6.94,-34.16,,$13.00,$141.00,
IBM,,,,,,47.55,6.61,-5.76,34.75,+2.46%,$22.00,$22.00,($18.03)
INTL BUSINESS MACHINES COM,0,,.00,158.40,+3.74,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,45,1.16,1.27,+.425,47.55,6.61,-5.76,34.75,,$22.00,$22.00,
JPM,,,,,,32.43,-6.49,.73,-4.18,+2.25%,$36.97,$45.81,($434.40)
JP MORGAN CHASE & CO COM,0,,.00,56.69,+1.22,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,45,.76,.491,-.287,-36.09,10.94,-2.89,10.59,,($53.80),($57.40),
100 MAR 15 55 PUT,-2,45,1.46,1.006169,-.5160311,68.51,-17.42,3.62,-14.76,,$90.77,$103.21,
KO,,,,,,130.50,45.21,-2.99,17.37,+0.10%,$10.50,$10.50,$3.10
COCA COLA CO COM,0,,.00,41.61,+.02,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,45,.78,.815,-.04,130.50,45.21,-2.99,17.37,,$10.50,$10.50,
PG,,,,,,65.74,-8.79,1.46,-11.17,+0.98%,$32.50,$71.00,"$7,306.25"
PROCTER GAMBLE CO COM,+100,,85.74,85.95,+.83,100.00,.00,.00,.00,,$21.00,$83.00,
100 MAR 15 87.5 CALL,-1,45,1.05,.935,+.12,-34.26,-8.79,1.46,-11.17,,$11.50,($12.00),
RSX,0,,.00,15.74,+.84,.00,.00,.00,.00,+5.77%,$0.00,$252.00,$0.00
MARKET VECTORS RUSSIA,0,,.00,15.74,+.84,.00,.00,.00,.00,,$0.00,$252.00,
SNDK,,,,,,-68.23,-4.10,3.44,-9.95,+2.52%,($87.50),($110.00),"($9,062.88)"
SANDISK CORP COM,-100,,76.95,78.66,+1.93,-100.00,.00,.00,.00,,($171.00),($193.00),
100 MAR 15 75 PUT,-1,45,2.74,1.905,-.83,31.77,-4.10,3.44,-9.95,,$83.50,$83.00,
SPY,,,,,,16.56,-.91,.21,-4.38,+1.45%,$64.50,$37.50,($519.79)
SPDR TR S&P 500 ETF TR,0,,.00,204.54,+2.62,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,45,4.43,2.875,-1.13,-98.70,8.44,-15.84,78.72,,($466.50),($339.00),
100 MAR 15 201 PUT,-3,45,5.18,3.41,-1.255,115.25,-9.35,16.05,-83.09,,$531.00,$376.50,
TSLA,,,,,,5.08,-.09,.23,-1.54,+3.52%,$105.00,$67.50,($155.00)
TESLA MOTORS INC COM,0,,.00,218.36,+7.42,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,45,13.95,21.875,+4.575,67.79,.98,-14.38,27.79,,$792.50,$457.50,
100 MAR 15 210 CALL,-1,45,11.55,18.425,+3.90,-62.71,-1.07,14.62,-29.33,,($687.50),($390.00),
USLV,+100,,24.95,24.32,+.35,100.00,.00,.00,.00,+1.46%,($63.00),($63.00),"$2,067.20"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,24.32,+.35,100.00,.00,.00,.00,,($63.00),($63.00),
VXX,,,,,,40.87,4.09,-4.02,4.58,-4.76%,($28.00),($28.00),$86.76
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,33.24,-1.66,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,45,2.67,2.39,-.835,40.87,4.09,-4.02,4.58,,($28.00),($28.00),
WFC,,,,,,40.79,-8.79,.59,-4.19,+1.21%,$47.00,$38.00,($475.10)
WELLS FARGO & CO COM,0,,.00,53.43,+.62,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 50 PUT,+2,45,.68,.455,-.18,-38.58,13.35,-2.57,10.40,,($45.00),($36.00),
100 MAR 15 52.5 PUT,-2,45,1.48,1.02,-.37,79.37,-22.14,3.17,-14.59,,$92.00,$74.00,
XOM,,,,,,-81.81,-3.21,2.48,-8.64,+2.98%,($328.00),($180.00),"($10,591.52)"
EXXON MOBIL CORPORATION COM,-100,,87.05,92.10,+2.52,-100.00,.00,.00,.00,,($505.00),($252.00),
100 MAR 15 85 PUT,-1,45,2.62,.85,-.72,18.19,-3.21,2.48,-8.64,,$177.00,$72.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/NQ,,,-1,,4153.50,4211.25,+25.75,+0.62%,"($1,155.00)",($515.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,45,4153.50,4211.25,+25.75,,"($1,155.00)",($515.00),
/QM,,,-1,,44.55,51.65,-1.40,+4.19%,"($3,550.00)",$700.00,"($2,448.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,16,44.55,51.650,-1.40,,"($3,550.00)",$700.00,
/ZW,,,+1,,507.75,517.75,+4.00,+4.01%,$500.00,$200.00,"($1,430.00)"
"Wheat Futures,Mar-2015,ETH",MAR2 15,1/50,+1,38,507.75,517.75,+4.00,,$500.00,$200.00,

Cash & Sweep Vehicle,"$47,528.49"
OVERALL P/L YTD,"($4,014.53)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$29,083.64"
AVAILABLE DOLLARS,"$29,083.64"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
GBP/USD,0,.00,1.51668,+.015015,+0.03%,$0.00,$140.35,$0.00
GBPound/US Dollar Spot,0,.00,1.51668,+.015015,,$0.00,$140.35,
HKD/JPY,+10000,15.16055,15.1634,+.0708,0.00%,($0.43),($0.43),($65.03)
HKDollar/Japanese Yen Spot,+10000,15.16055,15.16340,+.0708,,($0.43),($0.43),
USD/JPY,+10000,117.5299,117.573,+.5385,0.00%,($68.76),$44.60,($197.61)
USDollar/Japanese Yen Spot,+10000,117.5299,117.573,+.5385,,($68.76),$44.60,
USD/SEK,+10000,8.317324,8.22355,-.08935,0.00%,($79.12),($111.78),($317.17)
USDollar/Swedish Krona Spot,+10000,8.317324,8.22355,-.08935,,($79.12),($111.78),
USD/THB,0,.00,32.61,+.084,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.610,+.084,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,075.42"
AVAILABLE DOLLARS,"$8,995.61"
