This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Today's Trade Activity for <TOTAL> (ALL ACCOUNTS) on 2/24/15 13:53:50

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status
,,1/30/15 03:51:21,FOREX,BUY,+10000,TO OPEN,USD/THB,,,FOREX,31.00,LMT,GTC,32.573,WORKING

Filled Orders
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,2/24/15 07:20:22,FOREX,BUY,+10000,TO OPEN,NZD/SGD,,,FOREX,1.023107,1.023107,ROP
,2/24/15 07:20:22,FOREX,BUY,+10000,TO OPEN,USD/INR,,,FOREX,62.1637,62.1637,ROP
,2/24/15 07:20:22,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,118.809,118.809,ROP
,2/24/15 07:20:22,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.545696,1.545696,ROP
,2/24/15 07:20:22,FOREX,SELL,-10000,TO OPEN,USD/THB,,,FOREX,32.5338,32.5338,ROP
,2/24/15 07:20:22,FOREX,BUY,+10000,TO OPEN,HKD/JPY,,,FOREX,15.316,15.316,ROP
,2/24/15 07:20:21,FOREX,SELL,-10000,TO CLOSE,NZD/SGD,,,FOREX,1.0231,1.0231,RCL
,2/24/15 07:20:21,FOREX,BUY,+10000,TO CLOSE,USD/THB,,,FOREX,32.56,32.56,RCL
,2/24/15 07:20:21,FOREX,SELL,-10000,TO CLOSE,GBP/USD,,,FOREX,1.5457,1.5457,RCL
,2/24/15 07:20:21,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,118.81,118.81,RCL
,2/24/15 07:20:21,FOREX,SELL,-10000,TO CLOSE,USD/INR,,,FOREX,62.1637,62.1637,RCL
,2/24/15 07:20:21,FOREX,SELL,-10000,TO CLOSE,HKD/JPY,,,FOREX,15.316,15.316,RCL
,2/24/15 00:57:38,VERTICAL,BUY,+1,TO OPEN,GILD,MAY 15,105,CALL,5.50,2.15,LMT
,,,SELL,-1,TO OPEN,GILD,MAY 15,110,CALL,3.35,DEBIT,
,2/24/15 00:57:25,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.54675,1.54675,LMT
,2/24/15 00:57:13,FOREX,BUY,+10000,TO OPEN,NZD/SGD,,,FOREX,1.02433,1.02433,LMT
,2/24/15 00:55:01,STOCK,BUY,+40,TO OPEN,VNQ,,,ETF,84.93,84.93,LMT
,2/24/15 00:54:15,STOCK,BUY,+4,TO OPEN,GOOG,,,STOCK,531.81,531.81,LMT

Cancelled Orders
Notes,,Time Cancelled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,2/24/15 00:57:07,FOREX,BUY,+10000,TO OPEN,NZD/SGD,,,FOREX,1.02437,LMT,GTC,REJECTED: Limit price must be less than or equal to 1.02427 (unsupported order characteristic)
,,2/24/15 00:57:25,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.54649,LMT,GTC,CANCELED
,,2/24/15 00:57:38,VERTICAL,BUY,+1,TO OPEN,GILD,MAY 15,105,CALL,2.10,LMT,DAY,CANCELED
,,,,SELL,-1,TO OPEN,GILD,MAY 15,110,CALL,,,,

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
