This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/3/15 05:36:11

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-18.07,.25,-.24,.98,+1.25%,$0.00,($25.00),($477.15)
APPLE INC COM,0,,.00,118.57,+1.41,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,46,6.45,6.25,+.45,-63.97,-3.40,4.13,-15.87,,$20.00,($45.00),
100 MAR 15 120 CALL,+1,46,3.80,3.60,+.20,45.89,3.65,-4.37,16.85,,($20.00),$20.00,
EBAY,,,,,,-39.84,-5.15,.99,-4.20,+1.34%,$25.00,($24.00),($444.40)
EBAY INC COM,0,,.00,53.71,+.71,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,46,1.33,1.10,+.155,-78.90,-18.72,3.39,-14.83,,$46.00,($31.00),
100 MAR 15 57.5 CALL,+2,46,.53,.425,+.035,39.06,13.57,-2.40,10.63,,($21.00),$7.00,
EWU,+200,,18.33,18.20,+.16,200.00,.00,.00,.00,+0.89%,($26.00),$32.00,"$3,094.00"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.20,+.16,200.00,.00,.00,.00,,($26.00),$32.00,
GLD,,,,,,29.06,-.92,.72,-3.53,-0.83%,$37.00,($35.00),($17.18)
SPDR GOLD TR GOLD SHS ETF,0,,.00,122.42,-1.03,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,46,4.35,5.175,-.80,136.22,8.92,-6.19,31.36,,$165.00,($160.00),
100 MAR 15 122 CALL,-2,46,2.81,3.45,-.625,-107.17,-9.84,6.91,-34.90,,($128.00),$125.00,
JPM,,,,,,39.47,-5.30,.40,-2.87,+2.00%,($8.84),$48.13,($455.41)
JP MORGAN CHASE & CO COM,0,,.00,55.47,+1.09,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,46,.76,.778,-.3772873,-51.69,13.56,-3.47,12.86,,$3.60,($75.46),
100 MAR 15 55 PUT,-2,46,1.46,1.5222001,-.6179209,91.15,-18.86,3.87,-15.73,,($12.44),$123.58,
PG,,,,,,70.53,-7.67,1.47,-10.52,+0.98%,($30.50),$74.00,"$7,246.31"
PROCTER GAMBLE CO COM,+100,,85.74,85.20,+.91,100.00,.00,.00,.00,,($54.00),$91.00,
100 MAR 15 87.5 CALL,-1,46,1.05,.815,+.17,-29.47,-7.67,1.47,-10.52,,$23.50,($17.00),
RSX,+300,,14.9233333,14.90,+.28,300.00,.00,.00,.00,+1.92%,($7.00),$84.00,"$3,799.50"
MARKET VECTORS RUSSIA,+300,,14.9233333,14.90,+.28,300.00,.00,.00,.00,,($7.00),$84.00,
SNDK,,,,,,-59.63,-4.38,3.72,-10.65,+1.08%,$22.50,($33.00),"($8,862.03)"
SANDISK CORP COM,-100,,76.95,76.73,+.82,-100.00,.00,.00,.00,,$22.00,($82.00),
100 MAR 15 75 PUT,-1,46,2.74,2.735,-.49,40.37,-4.38,3.72,-10.65,,$0.50,$49.00,
