This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Today's Trade Activity for <TOTAL> (ALL ACCOUNTS) on 2/21/15 12:02:07

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status
,,1/30/15 03:51:21,FOREX,BUY,+10000,TO OPEN,USD/THB,,,FOREX,31.00,LMT,GTC,32.54,WORKING

Filled Orders
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,2/21/15 06:57:56,FOREX,BUY,+10000,TO OPEN,USD/INR,,,FOREX,62.2025,62.2025,ROP
,2/21/15 06:57:56,FOREX,BUY,+10000,TO OPEN,HKD/JPY,,,FOREX,15.34701,15.34701,ROP
,2/21/15 06:57:56,FOREX,SELL,-10000,TO OPEN,USD/THB,,,FOREX,32.514,32.514,ROP
,2/21/15 06:57:56,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,119.0695,119.0695,ROP
,2/21/15 06:57:55,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,119.07,119.07,RCL
,2/21/15 06:57:55,FOREX,BUY,+10000,TO CLOSE,USD/THB,,,FOREX,32.54,32.54,RCL
,2/21/15 06:57:55,FOREX,SELL,-10000,TO CLOSE,HKD/JPY,,,FOREX,15.3469,15.3469,RCL
,2/21/15 06:57:55,FOREX,SELL,-10000,TO CLOSE,USD/INR,,,FOREX,62.2025,62.2025,RCL
,2/21/15 02:31:18,SINGLE,BUY,+4,TO OPEN,RSX,MAY 15,20,CALL,.70,.70,LMT
,2/21/15 02:26:27,STOCK,BUY,+200,TO OPEN,GREK,,,ETF,14.02,14.02,LMT
,2/21/15 00:00:47,FOREX,BUY,+10000,TO OPEN,USD/INR,,,FOREX,62.21,62.21,LMT
,2/20/15 23:59:55,FOREX,SELL,-10000,TO CLOSE,AUD/SGD,,,FOREX,1.064,1.064,LMT
,2/20/15 22:59:38,SINGLE,SELL,-1,TO CLOSE,CELG,APR 15,125,CALL,4.65,4.65,LMT
,2/20/15 22:52:07,VERTICAL,BUY,+1,TO CLOSE,FB,MAR 15,77.5,PUT,1.34,1.02,LMT
,,,SELL,-1,TO CLOSE,FB,MAR 15,72.5,PUT,.32,DEBIT,

Cancelled Orders
Notes,,Time Cancelled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,2/20/15 23:59:15,FOREX,SELL,-10000,TO CLOSE,AUD/SGD,,,FOREX,1.06375,LMT,GTC,REJECTED: Limit price must be greater than or equal to 1.0638 (unsupported order characteristic)

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
