This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/18/15 14:41:59

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 MAR 15 205 CALL,+1,30,13.95,8.475,-.175,N/A,N/A,N/A,N/A,,($547.50),($17.50),
100 MAR 15 210 CALL,-1,30,11.55,6.225,-.225,N/A,N/A,N/A,N/A,,$532.50,$22.50,
USLV,+100,,24.95,20.85,-3.21,N/A,N/A,N/A,N/A,-13.34%,($410.00),($321.00),"$1,772.25"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.85,-3.21,N/A,N/A,N/A,N/A,,($410.00),($321.00),
VXX,,,,,,N/A,N/A,N/A,N/A,+0.26%,($151.50),$0.00,$34.14
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,31.05,+.08,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,30,2.67,1.155,0,N/A,N/A,N/A,N/A,,($151.50),$0.00,
XOM,,,,,,N/A,N/A,N/A,N/A,-0.34%,($373.00),$29.00,"($10,701.82)"
EXXON MOBIL CORPORATION COM,-100,,87.05,93.05,-.32,N/A,N/A,N/A,N/A,,($600.00),$32.00,
100 MAR 15 85 PUT,-1,30,2.62,.35,+.03,N/A,N/A,N/A,N/A,,$227.00,($3.00),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008384,-.000001,-0.01%,($62.50),($12.50),"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,26,.008389,.008384,-.000001,,($62.50),($12.50),
/NQ,,,-1,,4153.50,4387.00,+5.25,+0.12%,"($4,670.00)",($105.00),"($3,960.00)"
