This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for <TOTAL> (ALL ACCOUNTS) since 1/31/15 through 1/31/15

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,FEES,COMMISSIONS,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Fees,Commissions,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions,Amount,Amount(USD),Balance

 
"Total Cash ($176,417.73)"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type

Equities
Symbol,Description,Qty,Trade Price,Mark,Mark Value
XOM,EXXON MOBIL CORPORATION COM,-100,87.05,87.41,"($8,741.00)"
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,18.33,18.04,"$3,608.00"
RSX,MARKET VECTORS RUSSIA,+300,14.9233333,14.62,"$4,386.00"
PG,PROCTER GAMBLE CO COM,+100,85.74,84.29,"$8,429.00"
SNDK,SANDISK CORP COM,-100,76.95,75.91,"($7,591.00)"
,OVERALL TOTALS,,,,$91.00

Options
Symbol,Option Code,Exp,Strike,Type,Qty,Trade Price,Mark,Mark Value
AAPL,AAPL150320C115,MAR 15,115,CALL,-1,6.45,5.80,($580.00)
AAPL,AAPL150320C120,MAR 15,120,CALL,+1,3.80,3.40,$340.00
,,,,,,,,($240.00)
EBAY,EBAY150320C55,MAR 15,55,CALL,-2,1.33,.945,($189.00)
EBAY,EBAY150320C57.5,MAR 15,57.5,CALL,+2,.53,.39,$78.00
,,,,,,,,($111.00)
GLD,GLD150320C119,MAR 15,119,CALL,+2,4.35,5.975,"$1,195.00"
GLD,GLD150320C122,MAR 15,122,CALL,-2,2.81,4.075,($815.00)
,,,,,,,,$380.00
JPM,JPM150320P52.5,MAR 15,52.5,PUT,+2,.76,1.1461095,$229.22
JPM,JPM150320P55,MAR 15,55,PUT,-2,1.46,2.192947,($438.59)
,,,,,,,,($209.37)
PG,PG150320C87.5,MAR 15,87.5,CALL,-1,1.05,.645,($64.50)
,,,,,,,,($64.50)
SNDK,SNDK150320P75,MAR 15,75,PUT,-1,2.74,3.225,($322.50)
,,,,,,,,($322.50)
SPY,SPY150320P199,MAR 15,199,PUT,+3,4.43,5.34,"$1,602.00"
SPY,SPY150320P201,MAR 15,201,PUT,-3,5.18,6.25,"($1,875.00)"
,,,,,,,,($273.00)
TSLA,TSLA150320C205,MAR 15,205,CALL,+1,13.95,13.00,"$1,300.00"
TSLA,TSLA150320C210,MAR 15,210,CALL,-1,11.55,10.70,"($1,070.00)"
,,,,,,,,$230.00
WFC,WFC150320P50,MAR 15,50,PUT,+2,.68,.91,$182.00
WFC,WFC150320P52.5,MAR 15,52.5,PUT,-2,1.48,1.885,($377.00)
,,,,,,,,($195.00)
XOM,XOM150320P85,MAR 15,85,PUT,-1,2.62,2.505,($250.50)
,,,,,,,,($250.50)
,,,,,,,,"($1,055.87)"

Futures
Symbol,Description,SPC,Exp,Qty,Trade Price,Mark,P/L Day
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",1/20,MAR 15,-1,4153.50,4143.00,($35.00)
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",1/500,MAR 15,-1,44.55,47.850,$195.00
/ZWH5,"Wheat Futures,Mar-2015,ETH",1/50,MAR 15,+1,507.75,503.00,$12.50
,OVERALL TOTALS,,,,,,$172.50

Forex
Symbol,Description,Qty,Trade Price,Mark,FPL
USD/JPY,USDollar/Japanese Yen Spot      ,+10000,117.5297,117.533,($1.00)
GBP/USD,GBPound/US Dollar Spot         ,+10000,1.506203,1.50615,($2.53)
USD/SEK,USDollar/Swedish Krona Spot     ,+10000,8.28459,8.284645,($7.19)
,OVERALL TOTALS,,,,($10.71)

Profits and Losses 
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,Margin Req,Mark Value
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",$210.00,+0.25%,($35.00),$210.00,"$3,960.00",($35.00)
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH","($1,650.00)",-7.41%,$195.00,"($1,650.00)","$2,448.00",$195.00
/ZWH5,"Wheat Futures,Mar-2015,ETH",($237.50),-0.94%,$12.50,($237.50),"$1,430.00",$12.50
AAPL,APPLE INC COM,$25.00,+2.44%,$0.00,$25.00,$220.04,($240.00)
EBAY,EBAY INC COM,$49.00,+13.17%,$0.00,$49.00,$296.28,($111.00)
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,($58.00),-1.58%,$0.00,($58.00),$541.20,"$3,608.00"
GLD,SPDR GOLD TR GOLD SHS ETF,$72.00,+5.03%,$0.00,$72.00,$387.78,$380.00
JPM,JP MORGAN CHASE & CO COM,($69.37),-15.62%,$0.00,($69.37),$262.35,($209.37)
PG,PROCTER GAMBLE CO COM,($104.50),-1.20%,$0.00,($104.50),"$1,195.38","$8,364.50"
RSX,MARKET VECTORS RUSSIA,($91.00),-2.03%,$0.00,($91.00),$657.90,"$4,386.00"
SNDK,SANDISK CORP COM,$55.50,+0.70%,$0.00,$55.50,$869.27,"($7,913.50)"
SPY,SPDR TR S&P 500 ETF TR,($48.00),-1.66%,$0.00,($48.00),$285.79,($273.00)
TSLA,TESLA MOTORS INC COM,($10.00),-0.39%,$0.00,($10.00),$75.00,$230.00
WFC,WELLS FARGO & CO COM,($35.00),-8.10%,$0.00,($35.00),$286.96,($195.00)
XOM,EXXON MOBIL CORPORATION COM,($24.50),-0.27%,$1.00,($24.50),"$1,078.24","($8,991.50)"
,OVERALL TOTALS,"($1,916.37)",-1.10%,$173.50,"($1,916.37)","$13,994.19",($792.37)

Forex Account Summary
Cash,"$10,000.00"
UPL,($59.29)
Floating P/L,($10.71)
Equity,"$9,930.00"
Margin,"$1,201.23"
Available Equity,"$8,728.77"
Risk Level,100.00%

Account Summary
Net Liquidating Value,"$47,921.34"
Stock Buying Power,"$33,754.65"
Option Buying Power,"$33,754.65"
Commissions YTD,$159.08
Futures Commissions YTD,$10.96
