This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/27/15 19:32:44

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.00838,+.000005,+0.06%,($112.50),$62.50,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,17,.008389,.008380,+.000005,,($112.50),$62.50,
/NG,,,,,,,,+0.82%,$450.00,($100.00),"($3,520.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,-2,2.839,2.884,-.01,,$450.00,($100.00),
/NQ,,,-1,,4153.50,4456.75,-5.00,-0.11%,"($6,065.00)",$100.00,"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,21,4153.50,4456.75,-5.00,,"($6,065.00)",$100.00,
/QM,,,,,,,,+1.82%,"($3,287.50)",$0.00,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,-6,44.55,51.125,-.035,,"($3,287.50)",$17.50,

Cash & Sweep Vehicle,"$31,041.90"
OVERALL P/L YTD,"($6,194.39)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$22,405.12"
AVAILABLE DOLLARS,"$22,405.12"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,0,.00,1.063625,+.006145,0.00%,$0.00,$0.00,$0.00
AusDollar/Singapore Dollar Spot,0,.00,1.063625,+.006145,,$0.00,$0.00,
GBP/USD,+10000,1.540701,1.541465,-.00236,-0.06%,($53.57),($24.75),($301.80)
GBPound/US Dollar Spot,+10000,1.540701,1.541465,-.00236,,($53.57),($24.75),
HKD/JPY,+10000,15.398755,15.3905,+.0281,0.00%,$1.74,$1.90,($130.28)
HKDollar/Japanese Yen Spot,+10000,15.398755,15.39050,+.0281,,$1.74,$1.90,
NZD/SGD,+10000,1.023272,1.0276,+.004,0.00%,$23.06,$26.90,($349.30)
NZDollar/Singapore Dollar Spot,+10000,1.023272,1.02760,+.004,,$23.06,$26.90,
USD/INR,+10000,62.1637,62.165,0,0.00%,($8.05),($0.80),($500.60)
USDollar/Indian Rupee Spot,+10000,62.1637,62.1650,0,,($8.05),($0.80),
USD/JPY,+10000,119.4196,119.3535,+.2115,-0.06%,($49.67),$17.03,($206.26)
USDollar/Japanese Yen Spot,+10000,119.4196,119.3535,+.2115,,($49.67),$17.03,
USD/THB,-10000,32.3739,32.325,-.044,0.00%,($21.47),($9.58),($508.06)
USDollar/Thai Baht,-10000,32.3739,32.325,-.044,,($21.47),($9.58),

FOREX CASH WITH UPL,"$10,503.59"
AVAILABLE DOLLARS,"$8,507.29"
