This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/24/15 13:53:58

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-2.89,.84,-.51,1.70,+2.71%,($215.00),($15.00),($511.00)
APPLE INC COM,0,,.00,133.00,+3.505,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,25,6.45,18.15,+3.45,-93.64,-.59,2.50,-4.02,,"($1,170.00)",($345.00),
100 MAR 15 120 CALL,+1,25,3.80,13.35,+3.30,90.75,1.43,-3.01,5.72,,$955.00,$330.00,
AMZN,,,,,,-10.79,.46,-6.96,27.17,-0.92%,($52.20),$4.80,$8.40
AMAZON.COM INC COM,0,,.00,380.10,-3.56,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,53,2.73,2.207958,+.048001,-10.79,.46,-6.96,27.17,,($52.20),$4.80,
BABA,,,,,,9.22,2.50,-2.11,3.77,-1.35%,($171.50),($9.00),($2.78)
ALIBABA GROUP HLDG LTD ADR,0,,.00,85.47,-1.17,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,25,1.99,.275,-.09,9.22,2.50,-2.11,3.77,,($171.50),($9.00),
EBAY,,,,,,-45.43,10.46,-.81,3.72,+0.09%,($225.00),($17.00),($535.00)
EBAY INC COM,0,,.00,58.07,+.05,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,25,1.33,3.475,+.10,-162.36,-14.54,3.91,-8.36,,($429.00),($20.00),
100 MAR 15 57.5 CALL,+2,25,.53,1.55,+.015,116.93,24.99,-4.72,12.08,,$204.00,$3.00,
FSLR,,,,,,15.17,-1.08,2.73,-1.75,+1.26%,$48.00,$14.50,($305.65)
FIRST SOLAR INC COM,0,,.00,52.45,+3.43,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,25,1.81,.785,-.10,-13.11,1.96,-4.44,2.98,,($102.50),($10.00),
100 MAR 15 47.5 PUT,-1,25,3.70,2.195,-.245,28.28,-3.04,7.17,-4.73,,$150.50,$24.50,
GILD,,,,,,14.04,.07,-.26,.98,+1.85%,($5.00),($5.00),$45.76
GILEAD SCIENCES INC COM,0,,.00,104.51,+1.90,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 105 CALL,+1,81,5.50,5.40,+.70,51.46,2.84,-3.45,19.74,,($10.00),($10.00),
100 MAY 15 110 CALL,-1,81,3.35,3.30,+.44,-37.42,-2.77,3.19,-18.76,,$5.00,$5.00,
GLD,,,,,,26.14,4.35,-2.10,6.72,+0.13%,($211.00),($2.00),($4.07)
SPDR GOLD TR GOLD SHS ETF,0,,.00,115.43,+.15,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,25,4.35,.88,-.025,53.87,12.07,-6.99,20.34,,($694.00),($5.00),
100 MAR 15 122 CALL,-2,25,2.81,.395,-.015,-27.73,-7.72,4.90,-13.62,,$483.00,$3.00,
GOOG,+4,,531.81,531.91,-7.04,4.00,.00,.00,.00,-1.31%,$0.40,$0.40,"$1,808.49"
GOOGLE INC CLASS C,+4,,531.81,531.91,-7.04,4.00,.00,.00,.00,,$0.40,$0.40,
GREK,+600,,13.1733333,13.67,-.44,600.00,.00,.00,.00,-3.12%,$298.00,($264.00),"$6,971.70"
GLOBAL X FUNDS GREECE 20 ETF,+600,,13.1733333,13.67,-.44,600.00,.00,.00,.00,,$298.00,($264.00),
HD,,,,,,37.00,4.76,-2.61,16.28,+0.04%,($14.50),$12.50,($2.00)
HOME DEPOT INC COM,0,,.00,112.28,+.04,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 115 CALL,+1,53,2.09,1.945,+.125,37.00,4.76,-2.61,16.28,,($14.50),$12.50,
KO,,,,,,133.70,82.94,-2.85,13.19,-0.29%,($93.00),($30.00),($0.77)
COCA COLA CO COM,0,,.00,41.85,-.12,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,25,.78,.47,-.10,133.70,82.94,-2.85,13.19,,($93.00),($30.00),
NGE,+600,,8.39,8.54,+.235,600.00,.00,.00,.00,+2.83%,$90.00,$141.00,"$4,355.40"
GLOBAL X FUNDS MSCI NIGERIA ETF,+600,,8.39,8.54,+.235,600.00,.00,.00,.00,,$90.00,$141.00,
PG,,,,,,80.76,-10.77,1.21,-6.23,+0.61%,$43.50,$48.00,"$7,261.46"
PROCTER GAMBLE CO COM,+100,,85.74,85.39,+.52,100.00,.00,.00,.00,,($35.00),$52.00,
100 MAR 15 87.5 CALL,-1,25,1.05,.265,+.04,-19.24,-10.77,1.21,-6.23,,$78.50,($4.00),
RSX,,,,,,91.58,36.72,-2.45,9.75,N/A,($120.00),($110.00),$10.00
MARKET VECTORS RUSSIA,0,,.00,16.98,-1.01,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 20 CALL,+4,81,.70,.40,-.275,91.58,36.72,-2.45,9.75,,($120.00),($110.00),
SNDK,,,,,,-85.89,-3.52,2.78,-4.87,-1.50%,($217.50),$126.00,"($9,355.46)"
SANDISK CORP COM,-100,,76.95,81.39,-1.24,-100.00,.00,.00,.00,,($444.00),$124.00,
100 MAR 15 75 PUT,-1,25,2.74,.475,-.02,14.11,-3.52,2.78,-4.87,,$226.50,$2.00,
SPY,,,,,,-22.06,1.43,-.57,8.70,-0.01%,($44.50),$0.00,$21.42
SPDR TR S&P 500 ETF TR,0,,.00,211.209,-.03,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 200 PUT,-1,53,2.42,1.67,-.125,20.47,-2.02,3.84,-23.08,,$75.00,$12.50,
100 APR 15 209 PUT,+1,53,4.85,3.655,-.125,-42.53,3.45,-4.42,31.77,,($119.50),($12.50),
TSLA,,,,,,9.74,-.05,-.11,-.23,-4.50%,$12.50,($95.00),$19.00
TESLA MOTORS INC COM,0,,.00,207.335,-9.775,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,25,13.95,9.425,-6.45,56.57,1.91,-15.70,21.77,,($452.50),($645.00),
100 MAR 15 210 CALL,-1,25,11.55,6.90,-5.50,-46.82,-1.96,15.59,-22.00,,$465.00,$550.00,
USLV,+100,,24.95,20.00,+.30,100.00,.00,.00,.00,+1.52%,($495.00),$30.00,"$1,700.00"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.00,+.30,100.00,.00,.00,.00,,($495.00),$30.00,
VNQ,+40,,84.93,85.19,+.58,40.00,.00,.00,.00,+0.80%,$10.40,$10.40,"$2,896.46"
VANGUARD REIT ETF INDEX,+40,,84.93,85.19,+.58,40.00,.00,.00,.00,,$10.40,$10.40,
VXX,,,,,,15.65,3.85,-2.88,1.86,+0.31%,($220.50),($4.50),$8.88
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,29.14,+.09,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,25,2.67,.465,-.045,15.65,3.85,-2.88,1.86,,($220.50),($4.50),
XOM,,,,,,-78.99,-5.70,2.94,-6.85,-1.01%,$4.00,$88.00,"($10,235.45)"
EXXON MOBIL CORPORATION COM,-100,,87.05,89.01,-.91,-100.00,.00,.00,.00,,($196.00),$91.00,
100 MAR 15 85 PUT,-1,25,2.62,.62,+.03,21.01,-5.70,2.94,-6.85,,$200.00,($3.00),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008398,-.000015,-0.18%,$112.50,($187.50),"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,21,.008389,.008398,-.000015,,$112.50,($187.50),
/NG,,,+1,,2.839,2.868,-.011,-0.28%,$290.00,($110.00),"($3,520.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,2,2.839,2.868,-.011,,$290.00,($110.00),
