This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/19/15 12:50:38

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-7.36,1.29,-.93,3.32,+0.69%,($195.00),($17.50),($506.19)
APPLE INC COM,0,,.00,128.715,+.885,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,30,6.45,14.05,+.775,-91.08,-1.32,2.52,-5.84,,($760.00),($77.50),
100 MAR 15 120 CALL,+1,30,3.80,9.45,+.60,83.72,2.61,-3.45,9.17,,$565.00,$60.00,
BABA,,,,,,14.75,3.19,-2.70,5.83,-0.13%,($146.00),($7.50),($5.77)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.74,-.11,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,30,1.99,.53,-.075,14.75,3.19,-2.70,5.83,,($146.00),($7.50),
BP,,,,,,.00,.00,.00,.00,-0.07%,$0.00,$12.00,$0.00
BP PLC SPONS ADR,0,,.00,41.75,-.03,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,0,30,.00,1.535,-.06,.00,.00,.00,.00,,$0.00,($3.00),
100 MAR 15 42 CALL,0,30,.00,.97,-.065,.00,.00,.00,.00,,$0.00,$15.00,
EBAY,,,,,,-57.09,4.32,-.54,2.05,+0.86%,($130.00),($29.00),($484.36)
EBAY INC COM,0,,.00,56.90,+.485,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,30,1.33,2.50,+.34,-145.31,-19.59,3.70,-11.03,,($234.00),($68.00),
100 MAR 15 57.5 CALL,+2,30,.53,1.05,+.195,88.22,23.91,-4.23,13.08,,$104.00,$39.00,
EWU,0,,.00,18.99,+.09,.00,.00,.00,.00,+0.48%,$0.00,$6.00,$0.00
ISHARES TRUST MSCI UNITED KINGDOM ETF,0,,.00,18.99,+.09,.00,.00,.00,.00,,$0.00,$6.00,
FB,,,,,,33.26,-2.36,.71,-2.39,+1.47%,$32.50,$40.00,($484.21)
FACEBOOK INC COM,0,,.00,76.71,+1.11,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,30,1.54,.705,-.335,-21.10,5.09,-2.63,6.47,,($83.50),($33.50),
100 MAR 15 77.5 PUT,-1,30,3.70,2.54,-.735,54.36,-7.45,3.34,-8.86,,$116.00,$73.50,
FSLR,,,,,,21.00,-1.39,1.45,-1.62,-1.57%,$17.50,($16.00),($343.70)
FIRST SOLAR INC COM,0,,.00,48.84,-.78,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,30,1.81,1.005,0,-19.18,3.14,-3.81,3.89,,($80.50),$0.00,
100 MAR 15 47.5 PUT,-1,30,3.70,2.72,+.16,40.18,-4.53,5.27,-5.50,,$98.00,($16.00),
