This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/19/15 12:50:38

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
GE,,,,,,.00,.00,.00,.00,+0.32%,$0.00,$10.00,$0.00
GENERAL ELECTRIC CO COM,0,,.00,25.25,+.08,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,0,30,.00,.385,+.025,.00,.00,.00,.00,,$0.00,$10.00,
GLD,,,,,,29.74,3.41,-1.68,6.36,+0.28%,($172.00),$7.00,$3.40
SPDR GOLD TR GOLD SHS ETF,0,,.00,116.34,+.33,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,30,4.35,1.31,+.055,68.02,12.31,-7.09,24.84,,($608.00),$11.00,
100 MAR 15 122 CALL,-2,30,2.81,.63,+.02,-38.28,-8.91,5.41,-18.48,,$436.00,($4.00),
IBM,,,,,,.00,.00,.00,.00,+0.76%,$0.00,$66.00,$0.00
INTL BUSINESS MACHINES COM,0,,.00,162.19,+1.23,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,0,30,.00,1.76,+.33,.00,.00,.00,.00,,$0.00,$66.00,
JPM,,,,,,.00,.00,.00,.00,-1.21%,$0.00,($11.40),$0.00
JP MORGAN CHASE & CO COM,0,,.00,59.37,-.73,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,0,30,.00,.135,+.006,.00,.00,.00,.00,,$0.00,$0.20,
100 MAR 15 55 PUT,0,30,.00,.276,+.044,.00,.00,.00,.00,,$0.00,($11.60),
KO,,,,,,122.64,83.26,-2.29,14.11,-0.19%,($112.50),($19.50),$0.68
COCA COLA CO COM,0,,.00,41.73,-.08,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,30,.78,.405,-.065,122.64,83.26,-2.29,14.11,,($112.50),($19.50),
PG,,,,,,67.24,-11.91,1.56,-9.05,+0.90%,$93.00,$57.50,"$7,332.94"
PROCTER GAMBLE CO COM,+100,,85.74,86.26,+.77,100.00,.00,.00,.00,,$52.00,$77.00,
100 MAR 15 87.5 CALL,-1,30,1.05,.64,+.195,-32.76,-11.91,1.56,-9.05,,$41.00,($19.50),
SNDK,,,,,,-84.05,-3.25,2.97,-5.80,-0.31%,($284.50),$31.00,"($9,412.14)"
SANDISK CORP COM,-100,,76.95,81.88,-.315,-100.00,.00,.00,.00,,($493.00),$31.50,
100 MAR 15 75 PUT,-1,30,2.74,.655,+.005,15.95,-3.25,2.97,-5.80,,$208.50,($0.50),
SPY,,,,,,-22.20,1.14,-.30,7.01,+0.01%,($12.00),($19.50),$35.09
SPDR TR S&P 500 ETF TR,0,,.00,210.12,+.01,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,0,30,.00,.975,-.085,.00,.00,.00,.00,,$0.00,$27.00,
100 MAR 15 201 PUT,0,30,.00,1.225,-.09,.00,.00,.00,.00,,$0.00,($34.50),
100 APR 15 200 PUT,-1,58,2.42,2.26,-.075,24.37,-2.07,4.19,-26.48,,$16.00,$16.00,
100 APR 15 209 PUT,+1,58,4.85,4.57,-.06,-46.56,3.22,-4.48,33.49,,($28.00),($28.00),
TSLA,,,,,,9.31,.01,-.50,.49,+0.05%,($15.00),$0.00,$150.00
TESLA MOTORS INC COM,0,,.00,204.46,+.11,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,30,13.95,8.30,-.175,51.16,1.86,-13.83,23.75,,($565.00),($17.50),
100 MAR 15 210 CALL,-1,30,11.55,6.05,-.175,-41.85,-1.85,13.33,-23.27,,$550.00,$17.50,
USLV,+100,,24.95,20.52,-.33,100.00,.00,.00,.00,-1.58%,($443.00),($33.00),"$1,744.20"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.52,-.33,100.00,.00,.00,.00,,($443.00),($33.00),
VXX,,,,,,25.23,4.44,-3.71,2.87,-0.77%,($170.00),($18.50),$25.38
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,30.81,-.24,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,30,2.67,.97,-.185,25.23,4.44,-3.71,2.87,,($170.00),($18.50),
XOM,,,,,,-83.74,-3.93,2.59,-6.52,-2.19%,($181.50),$191.50,"($10,454.56)"
EXXON MOBIL CORPORATION COM,-100,,87.05,90.93,-2.12,-100.00,.00,.00,.00,,($388.00),$212.00,
100 MAR 15 85 PUT,-1,30,2.62,.555,+.205,16.26,-3.93,2.59,-6.52,,$206.50,($20.50),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.00843,+.000008,+0.09%,$512.50,$100.00,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,26,.008389,.008430,+.000008,,$512.50,$100.00,
/NQ,,,-1,,4153.50,4387.25,+1.25,+0.03%,"($4,675.00)",($25.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,30,4153.50,4387.25,+1.25,,"($4,675.00)",($25.00),
/QM,,,,,,,,-2.70%,"($3,050.00)",$745.00,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,1,44.55,50.650,-1.49,,"($3,050.00)",$745.00,

Cash & Sweep Vehicle,"$50,675.86"
OVERALL P/L YTD,"($5,094.50)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$28,321.63"
AVAILABLE DOLLARS,"$28,321.63"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.0587,1.06025,-.0026,0.00%,$78.37,($21.00),($381.11)
AusDollar/Singapore Dollar Spot,+10000,1.0587,1.06025,-.0026,,$78.37,($21.00),
GBP/USD,0,.00,1.54458,+.00901,+0.07%,$0.00,$83.30,$0.00
GBPound/US Dollar Spot,0,.00,1.54458,+.00901,,$0.00,$83.30,
HKD/JPY,+10000,15.3097,15.2934,-.04815,0.00%,($6.38),($4.53),($130.92)
HKDollar/Japanese Yen Spot,+10000,15.3097,15.29340,-.04815,,($6.38),($4.53),
USD/JPY,+10000,118.7889,118.6435,-.365,-0.12%,($109.54),($31.43),($212.99)
USDollar/Japanese Yen Spot,+10000,118.7889,118.6435,-.365,,($109.54),($31.43),
USD/THB,0,.00,32.552,-.006,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.552,-.006,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,490.84"
AVAILABLE DOLLARS,"$9,265.83"
