This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/17/15 09:40:33

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 MAR 15 210 CALL,-1,32,11.55,6.45,0,-41.62,-1.71,13.11,-24.25,,$510.00,$0.00,
USLV,+100,,24.95,24.06,0,100.00,.00,.00,.00,+7.89%,($89.00),$0.00,"$2,045.10"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,24.06,0,100.00,.00,.00,.00,,($89.00),$0.00,
VXX,,,,,,27.61,4.36,-3.77,3.16,-1.21%,($151.50),$0.00,$31.96
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,30.97,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,32,2.67,1.155,0,27.61,4.36,-3.77,3.16,,($151.50),$0.00,
XOM,,,,,,-90.28,-2.54,1.79,-4.91,+1.08%,($402.00),$0.00,"($10,737.14)"
EXXON MOBIL CORPORATION COM,-100,,87.05,93.37,0,-100.00,.00,.00,.00,,($632.00),$0.00,
100 MAR 15 85 PUT,-1,32,2.62,.32,0,9.72,-2.54,1.79,-4.91,,$230.00,$0.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008452,+.000032,+0.38%,$787.50,$400.00,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,28,.008389,.008452,+.000032,,$787.50,$400.00,
/NQ,,,-1,,4153.50,4369.25,-7.75,-0.18%,"($4,315.00)",$155.00,"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,32,4153.50,4369.25,-7.75,,"($4,315.00)",$155.00,
/QM,,,-1,,44.55,52.90,+.12,+0.24%,"($4,175.00)",($60.00),"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,3,44.55,52.900,+.12,,"($4,175.00)",($60.00),

Cash & Sweep Vehicle,"$46,111.20"
OVERALL P/L YTD,"($5,412.50)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$25,784.76"
AVAILABLE DOLLARS,"$25,784.76"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.05474,1.05585,+.00078,+0.06%,$45.83,$5.09,($382.72)
AusDollar/Singapore Dollar Spot,+10000,1.05474,1.05585,+.00078,,$45.83,$5.09,
GBP/USD,+10000,1.536297,1.53688,-.00657,+0.06%,$32.47,($66.77),($302.65)
GBPound/US Dollar Spot,+10000,1.536297,1.53688,-.00657,,$32.47,($66.77),
HKD/JPY,+10000,15.268295,15.25315,-.01785,0.00%,($9.90),($1.96),($130.48)
HKDollar/Japanese Yen Spot,+10000,15.268295,15.25315,-.01785,,($9.90),($1.96),
USD/JPY,+10000,118.4799,118.3435,-.0975,-0.12%,($136.11),($8.94),($212.23)
USDollar/Japanese Yen Spot,+10000,118.4799,118.3435,-.0975,,($136.11),($8.94),
USD/THB,0,.00,32.593,-.007,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.593,-.007,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,356.65"
AVAILABLE DOLLARS,"$8,828.58"
