This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/28/15 06:52:41

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-7.77,1.25,-1.29,2.76,-1.50%,($190.00),$12.50,($505.82)
APPLE INC COM,0,,.00,128.40,-2.015,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,21,6.45,13.85,-1.85,-89.84,-1.41,4.20,-5.45,,($740.00),$185.00,
100 MAR 15 120 CALL,+1,21,3.80,9.30,-1.725,82.07,2.66,-5.49,8.21,,$550.00,($172.50),
AMZN,,,,,,-9.88,.45,-6.78,24.55,-1.21%,($82.92),$10.06,$5.73
AMAZON.COM INC COM,0,,.00,380.17,-4.63,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,49,2.73,1.900843,+.10059,-9.88,.45,-6.78,24.55,,($82.92),$10.06,
BABA,,,,,,6.46,2.09,-1.73,2.63,-0.29%,($182.50),($2.00),$0.00
ALIBABA GROUP HLDG LTD ADR,0,,.00,85.08,-.29,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,21,1.99,.165,-.02,6.46,2.09,-1.73,2.63,,($182.50),($2.00),
EBAY,,,,,,-56.50,14.92,-1.58,4.71,-1.08%,($219.00),$13.00,($529.00)
EBAY INC COM,0,,.00,57.91,-.63,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,21,1.33,3.135,-.515,-171.28,-15.72,3.03,-6.44,,($361.00),$103.00,
100 MAR 15 57.5 CALL,+2,21,.53,1.24,-.45,114.78,30.64,-4.60,11.14,,$142.00,($90.00),
GILD,,,,,,13.83,.15,-.34,1.38,-0.63%,($20.50),($8.00),$40.82
GILEAD SCIENCES INC COM,0,,.00,103.53,-.66,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 105 CALL,+1,77,5.50,4.925,-.30,48.68,2.86,-3.60,19.08,,($57.50),($30.00),
100 MAY 15 110 CALL,-1,77,3.35,2.98,-.22,-34.85,-2.71,3.26,-17.69,,$37.00,$22.00,
GLD,,,,,,31.07,7.26,-2.47,8.03,+0.08%,($222.00),($2.00),($25.83)
SPDR GOLD TR GOLD SHS ETF,0,,.00,116.22,+.15,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,21,4.35,.66,-.055,52.74,15.56,-6.28,18.64,,($738.00),($11.00),
100 MAR 15 122 CALL,-2,21,2.81,.23,-.045,-21.67,-8.30,3.81,-10.61,,$516.00,$9.00,
GOOG,0,,.00,558.40,+2.92,.00,.00,.00,.00,+0.53%,$0.00,$21.72,$0.00
GOOGLE INC CLASS C,0,,.00,558.40,+2.92,.00,.00,.00,.00,,$0.00,$21.72,
KO,,,,,,.00,.00,.00,.00,+1.98%,$0.00,$238.50,$0.00
COCA COLA CO COM,0,,.00,43.30,+.84,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,0,21,.00,1.425,+.63,.00,.00,.00,.00,,$0.00,$238.50,
NGE,+600,,8.39,8.58,+.19,600.00,.00,.00,.00,+2.26%,$114.00,$114.00,"$4,375.80"
GLOBAL X FUNDS MSCI NIGERIA ETF,+600,,8.39,8.58,+.19,600.00,.00,.00,.00,,$114.00,$114.00,
PG,,,,,,86.43,-9.79,1.01,-4.56,-0.05%,$29.00,($1.50),"$7,237.95"
PROCTER GAMBLE CO COM,+100,,85.74,85.13,-.04,100.00,.00,.00,.00,,($61.00),($4.00),
100 MAR 15 87.5 CALL,-1,21,1.05,.15,-.025,-13.57,-9.79,1.01,-4.56,,$90.00,$2.50,
RSX,,,,,,112.49,40.79,-2.66,11.05,+2.12%,($70.00),$30.00,$1.77
MARKET VECTORS RUSSIA,0,,.00,17.79,+.34,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 20 CALL,+4,77,.70,.525,+.075,112.49,40.79,-2.66,11.05,,($70.00),$30.00,
SNDK,,,,,,-82.06,-4.59,3.44,-5.15,+2.41%,($81.50),($159.00),"($9,190.94)"
SANDISK CORP COM,-100,,76.95,79.93,+1.88,-100.00,.00,.00,.00,,($298.00),($188.00),
100 MAR 15 75 PUT,-1,21,2.74,.575,-.29,17.94,-4.59,3.44,-5.15,,$216.50,$29.00,
SPY,,,,,,-23.82,1.68,-.72,9.33,-0.34%,($46.00),$11.50,$22.57
SPDR TR S&P 500 ETF TR,0,,.00,210.95,-.43,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 200 PUT,-1,49,2.42,1.395,-.005,19.08,-2.11,3.65,-21.27,,$102.50,$0.50,
100 APR 15 209 PUT,+1,49,4.85,3.365,+.11,-42.90,3.79,-4.36,30.59,,($148.50),$11.00,
TSLA,,,,,,10.82,.09,-.96,.99,-1.86%,($37.50),($45.00),$127.50
TESLA MOTORS INC COM,0,,.00,203.34,-3.85,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,21,13.95,6.40,-2.35,48.15,2.22,-16.32,19.89,,($755.00),($235.00),
100 MAR 15 210 CALL,-1,21,11.55,4.375,-1.90,-37.34,-2.13,15.36,-18.90,,$717.50,$190.00,
USLV,+100,,24.95,20.88,+.08,100.00,.00,.00,.00,+0.34%,($407.00),$8.00,"$1,774.80"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.88,+.08,100.00,.00,.00,.00,,($407.00),$8.00,
VNQ,+40,,84.93,83.40,+.68,40.00,.00,.00,.00,+0.79%,($61.20),$27.20,"$2,835.60"
VANGUARD REIT ETF INDEX,+40,,84.93,83.40,+.68,40.00,.00,.00,.00,,($61.20),$27.20,
VXX,,,,,,9.33,2.91,-2.18,1.12,-0.58%,($244.00),($8.50),$0.00
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,27.47,-.31,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,21,2.67,.23,-.085,9.33,2.91,-2.18,1.12,,($244.00),($8.50),

Cash & Sweep Vehicle,"$31,041.90"
OVERALL P/L YTD,"($6,097.22)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$22,405.12"
AVAILABLE DOLLARS,"$22,405.12"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,0,.00,1.06458,+.0071,0.00%,$0.00,$0.00,$0.00
AusDollar/Singapore Dollar Spot,0,.00,1.06458,+.0071,,$0.00,$0.00,
GBP/USD,+10000,1.540701,1.5437,-.000125,0.00%,($34.07),($5.25),($282.75)
GBPound/US Dollar Spot,+10000,1.540701,1.54370,-.000125,,($34.07),($5.25),
HKD/JPY,+10000,15.398755,15.425,+.0626,0.00%,$3.82,$3.99,($128.00)
HKDollar/Japanese Yen Spot,+10000,15.398755,15.42500,+.0626,,$3.82,$3.99,
NZD/SGD,+10000,1.023272,1.030575,+.006975,0.00%,$40.03,$44.05,($331.86)
NZDollar/Singapore Dollar Spot,+10000,1.023272,1.030575,+.006975,,$40.03,$44.05,
USD/INR,+10000,62.1637,62.165,0,0.00%,($8.05),($0.80),($500.60)
USDollar/Indian Rupee Spot,+10000,62.1637,62.1650,0,,($8.05),($0.80),
USD/JPY,+10000,119.4196,119.628,+.486,0.00%,($29.05),$37.70,($185.50)
USDollar/Japanese Yen Spot,+10000,119.4196,119.628,+.486,,($29.05),$37.70,
USD/THB,-10000,32.3739,32.355,-.014,0.00%,($30.73),($18.86),($517.35)
USDollar/Thai Baht,-10000,32.3739,32.355,-.014,,($30.73),($18.86),

FOREX CASH WITH UPL,"$10,503.31"
AVAILABLE DOLLARS,"$8,557.25"
