FSLR,FIRST SOLAR INC COM,$0.00,0.00%,$0.00,$149.00,$0.00,$0.00
GE,GENERAL ELECTRIC CO COM,$0.00,0.00%,$0.00,$170.00,$0.00,$0.00
GILD,GILEAD SCIENCES INC COM,($20.50),-2.32%,($8.00),($20.50),$153.68,$194.50
GLD,SPDR GOLD TR GOLD SHS ETF,($222.00),-15.50%,($2.00),($222.00),$111.83,$86.00
GOOG,GOOGLE INC CLASS C,$0.00,0.00%,$21.72,$116.40,$0.00,$0.00
GREK,GLOBAL X FUNDS GREECE 20 ETF,$0.00,0.00%,$0.00,$58.00,$0.00,$0.00
HD,HOME DEPOT INC COM,$0.00,0.00%,$0.00,$146.00,$0.00,$0.00
IBM,INTL BUSINESS MACHINES COM,$0.00,0.00%,$0.00,$120.00,$0.00,$0.00
JPM,JP MORGAN CHASE & CO COM,$0.00,0.00%,$0.00,$108.00,$0.00,$0.00
KO,COCA COLA CO COM,$0.00,0.00%,$238.50,$243.00,$0.00,$0.00
NGE,GLOBAL X FUNDS MSCI NIGERIA ETF,$114.00,+2.26%,$114.00,$114.00,$772.20,"$5,148.00"
PG,PROCTER GAMBLE CO COM,$29.00,+0.33%,($1.50),$29.00,"$1,260.05","$8,498.00"
RSX,MARKET VECTORS RUSSIA,($70.00),-25.00%,$30.00,$175.00,$208.23,$210.00
SNDK,SANDISK CORP COM,($81.50),-1.02%,($159.00),($81.50),"$1,140.44","($8,050.50)"
SPY,SPDR TR S&P 500 ETF TR,($46.00),-6.33%,$11.50,$95.00,$174.81,$197.00
TSLA,TESLA MOTORS INC COM,($37.50),-1.47%,($45.00),($37.50),$75.00,$202.50
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,($407.00),-16.31%,$8.00,($407.00),$313.20,"$2,088.00"
VNQ,VANGUARD REIT ETF INDEX,($61.20),-1.80%,$27.20,($61.20),$500.40,"$3,336.00"
VXX,BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,($244.00),-91.39%,($8.50),($244.00),$23.00,$23.00
WFC,WELLS FARGO & CO COM,$0.00,0.00%,$0.00,$110.00,$0.00,$0.00
XOM,EXXON MOBIL CORPORATION COM,$0.00,0.00%,$0.00,$36.00,$0.00,$0.00
,OVERALL TOTALS,"($4,633.62)",-1.51%,($387.02),"($6,097.22)","$16,216.51",N/A

Forex Account Summary
Cash,"$10,432.41"
UPL,$70.89
Floating P/L,$69.95
Equity,"$10,573.26"
Margin,"$2,016.01"
Available Equity,"$8,557.25"
Risk Level,100.00%

Account Summary
Net Liquidating Value,"$43,247.40"
Stock Buying Power,"$22,405.12"
Option Buying Power,"$22,405.12"
Commissions YTD,$637.53
Futures Commissions YTD,$48.10
