This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for <TOTAL> (ALL ACCOUNTS) since 2/6/15 through 2/6/15

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,FEES,COMMISSIONS,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Fees,Commissions,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions,Amount,Amount(USD),Balance

 
"Total Cash ($182,502.29)"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type

Equities
Symbol,Description,Qty,Trade Price,Mark,Mark Value
XOM,EXXON MOBIL CORPORATION COM,-100,87.05,91.50,"($9,150.00)"
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,24.95,22.00,"$2,200.00"
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,18.33,18.56,"$3,712.00"
PG,PROCTER GAMBLE CO COM,+100,85.74,85.61,"$8,561.00"
SNDK,SANDISK CORP COM,-100,76.95,77.475,"($7,747.50)"
,OVERALL TOTALS,,,,"($2,424.50)"

Options
Symbol,Option Code,Exp,Strike,Type,Qty,Trade Price,Mark,Mark Value
AAPL,AAPL150320C115,MAR 15,115,CALL,-1,6.45,6.525,($652.50)
AAPL,AAPL150320C120,MAR 15,120,CALL,+1,3.80,3.725,$372.50
,,,,,,,,($280.00)
BABA,BABA150320C95,MAR 15,95,CALL,+1,1.99,.81,$81.00
,,,,,,,,$81.00
BP,BP150320C41,MAR 15,41,CALL,+6,1.01,1.115,$669.00
BP,BP150320C42,MAR 15,42,CALL,-6,.65,.71,($426.00)
,,,,,,,,$243.00
EBAY,EBAY150320C55,MAR 15,55,CALL,-2,1.33,1.30,($260.00)
EBAY,EBAY150320C57.5,MAR 15,57.5,CALL,+2,.53,.475,$95.00
,,,,,,,,($165.00)
FB,FB150320P72.5,MAR 15,72.5,PUT,+1,1.54,1.78,$178.00
FB,FB150320P77.5,MAR 15,77.5,PUT,-1,3.70,4.375,($437.50)
,,,,,,,,($259.50)
FSLR,FSLR150320P42.5,MAR 15,42.5,PUT,+1,1.81,2.015,$201.50
FSLR,FSLR150320P47.5,MAR 15,47.5,PUT,-1,3.70,4.175,($417.50)
,,,,,,,,($216.00)
GE,GE150320C25,MAR 15,25,CALL,+10,.20,.225,$225.00
,,,,,,,,$225.00
GLD,GLD150320C119,MAR 15,119,CALL,+2,4.35,2.865,$573.00
GLD,GLD150320C122,MAR 15,122,CALL,-2,2.81,1.70,($340.00)
,,,,,,,,$233.00
IBM,IBM150320C165,MAR 15,165,CALL,+2,1.16,1.025,$205.00
,,,,,,,,$205.00
JPM,JPM150320P52.5,MAR 15,52.5,PUT,+2,.76,.34,$68.00
JPM,JPM150320P55,MAR 15,55,PUT,-2,1.46,.705,($141.00)
,,,,,,,,($73.00)
KO,KO150320C42,MAR 15,42,CALL,+3,.78,.66,$198.00
,,,,,,,,$198.00
PG,PG150320C87.5,MAR 15,87.5,CALL,-1,1.05,.785,($78.50)
,,,,,,,,($78.50)
SNDK,SNDK150320P75,MAR 15,75,PUT,-1,2.74,2.095,($209.50)
,,,,,,,,($209.50)
SPY,SPY150320P199,MAR 15,199,PUT,+3,4.43,2.525,$757.50
SPY,SPY150320P201,MAR 15,201,PUT,-3,5.18,2.985,($895.50)
,,,,,,,,($138.00)
TSLA,TSLA150320C205,MAR 15,205,CALL,+1,13.95,20.30,"$2,030.00"
TSLA,TSLA150320C210,MAR 15,210,CALL,-1,11.55,17.175,"($1,717.50)"
,,,,,,,,$312.50
VXX,VXX150320C37,MAR 15,37,CALL,+1,2.67,2.665,$266.50
,,,,,,,,$266.50
XOM,XOM150320P85,MAR 15,85,PUT,-1,2.62,.75,($75.00)
,,,,,,,,($75.00)
,,,,,,,,$269.50

Futures
Symbol,Description,SPC,Exp,Qty,Trade Price,Mark,P/L Day
/NGH5,"Natural Gas Futures,Mar-2015,ETH",1/10000,MAR 15,+1,2.68,2.573,($60.00)
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",1/20,MAR 15,-1,4153.50,4231.25,$325.00
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",1/500,MAR 15,-1,44.55,52.150,($230.00)
/ZWH5,"Wheat Futures,Mar-2015,ETH",1/50,MAR 15,+1,507.75,527.00,$0.00
,OVERALL TOTALS,,,,,,$35.00

Forex
Symbol,Description,Qty,Trade Price,Mark,FPL
AUD/SGD,AusDollar/Singapore Dollar Spot ,+10000,1.048682,1.054525,$36.72
USD/JPY,USDollar/Japanese Yen Spot      ,+10000,117.5296,119.103,$130.75
HKD/JPY,HKDollar/Japanese Yen Spot ,+10000,15.15972,15.36230,$16.29
,OVERALL TOTALS,,,,$183.76

Profits and Losses 
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,Margin Req,Mark Value
/NGH5,"Natural Gas Futures,Mar-2015,ETH","($1,070.00)",-3.99%,($60.00),"($1,070.00)","$4,235.00",($60.00)
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH","($1,555.00)",-1.87%,$325.00,"($1,555.00)","$3,960.00",$325.00
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH","($3,800.00)",-17.06%,($230.00),"($3,800.00)","$2,448.00",($230.00)
/ZWH5,"Wheat Futures,Mar-2015,ETH",$962.50,+3.79%,$0.00,$962.50,"$1,430.00",$0.00
AAPL,APPLE INC COM,($15.00),-1.46%,$22.50,($15.00),$189.13,($280.00)
BABA,ALIBABA GROUP HLDG LTD ADR,($118.00),-59.30%,($19.00),($118.00),$85.11,$81.00
BP,BP PLC SPONS ADR,$27.00,+2.71%,($18.00),$27.00,$450.00,$243.00
DIS,WALT DISNEY CO COM,$0.00,0.00%,$0.00,$148.00,$0.00,$0.00
EBAY,EBAY INC COM,($5.00),-1.34%,($15.00),($5.00),$314.09,($165.00)
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,$46.00,+1.25%,($40.00),$46.00,$556.80,"$3,712.00"
FB,FACEBOOK INC COM,($43.50),-8.30%,($37.00),($43.50),$222.64,($259.50)
FSLR,FIRST SOLAR INC COM,($27.00),-4.90%,$2.00,($27.00),$145.92,($216.00)
GE,GENERAL ELECTRIC CO COM,$25.00,+12.50%,$15.00,$25.00,$249.19,$225.00
GLD,SPDR GOLD TR GOLD SHS ETF,($75.00),-5.24%,($94.00),($75.00),$209.31,$233.00
IBM,INTL BUSINESS MACHINES COM,($27.00),-11.64%,($13.00),($27.00),$229.63,$205.00
JPM,JP MORGAN CHASE & CO COM,$67.00,+15.09%,$27.04,$67.00,$331.21,($73.00)
