This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 1/31/15 23:36:44

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 MAR 15 87.5 CALL,-1,48,1.05,.645,0,-23.96,-6.61,1.31,-9.67,,$40.50,$0.00,
RSX,+300,,14.9233333,14.62,0,300.00,.00,.00,.00,-1.28%,($91.00),$0.00,"$3,728.10"
MARKET VECTORS RUSSIA,+300,,14.9233333,14.62,0,300.00,.00,.00,.00,,($91.00),$0.00,
SNDK,,,,,,-55.90,-4.33,3.68,-11.06,-2.01%,$55.50,$0.00,"($8,782.77)"
SANDISK CORP COM,-100,,76.95,75.91,0,-100.00,.00,.00,.00,,$104.00,$0.00,
100 MAR 15 75 PUT,-1,48,2.74,3.225,0,44.10,-4.33,3.68,-11.06,,($48.50),$0.00,
SPY,,,,,,18.76,-.21,-.56,.76,-1.26%,($48.00),$0.00,($558.79)
SPDR TR S&P 500 ETF TR,0,,.00,199.25,-.20,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,48,4.43,5.34,0,-146.91,9.05,-17.20,87.12,,$273.00,$0.00,
100 MAR 15 201 PUT,-3,48,5.18,6.25,0,165.67,-9.26,16.65,-86.36,,($321.00),$0.00,
TSLA,,,,,,5.87,-.01,-.25,.13,-0.78%,($10.00),$0.00,$155.00
TESLA MOTORS INC COM,0,,.00,203.60,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,48,13.95,13.00,0,51.80,1.17,-13.68,30.02,,($95.00),$0.00,
100 MAR 15 210 CALL,-1,48,11.55,10.70,0,-45.93,-1.18,13.43,-29.90,,$85.00,$0.00,
WFC,,,,,,48.92,-4.19,.07,-1.34,-1.59%,($35.00),$0.00,($481.96)
WELLS FARGO & CO COM,0,,.00,51.92,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 50 PUT,+2,48,.68,.91,0,-63.79,17.01,-3.26,13.57,,$46.00,$0.00,
100 MAR 15 52.5 PUT,-2,48,1.48,1.885,0,112.71,-21.20,3.33,-14.91,,($81.00),$0.00,
XOM,,,,,,-61.59,-4.34,3.66,-12.20,-0.18%,($24.50),$1.00,"($10,069.74)"
EXXON MOBIL CORPORATION COM,-100,,87.05,87.41,-.01,-100.00,.00,.00,.00,,($36.00),$1.00,
100 MAR 15 85 PUT,-1,48,2.62,2.505,0,38.41,-4.34,3.66,-12.20,,$11.50,$0.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/NQ,,,-1,,4153.50,4143.00,+1.75,-1.02%,$210.00,($35.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,48,4153.50,4143.00,+1.75,,$210.00,($35.00),
/QM,,,-1,,44.55,47.85,-.39,+7.47%,"($1,650.00)",$195.00,"($2,448.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,19,44.55,47.850,-.39,,"($1,650.00)",$195.00,
/ZW,,,+1,,507.75,503.00,+.25,-0.94%,($237.50),$12.50,"($1,430.00)"
"Wheat Futures,Mar-2015,ETH",MAR2 15,1/50,+1,41,507.75,503.00,+.25,,($237.50),$12.50,

Cash & Sweep Vehicle,"$48,713.71"
OVERALL P/L YTD,"($1,916.37)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$33,754.65"
AVAILABLE DOLLARS,"$33,754.65"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
GBP/USD,+10000,1.506203,1.50615,0,0.00%,$11.17,($2.00),($303.76)
GBPound/US Dollar Spot,+10000,1.506203,1.50615,0,,$11.17,($2.00),
USD/JPY,+10000,117.5297,117.533,0,+0.06%,($72.10),($1.28),($201.00)
USDollar/Japanese Yen Spot,+10000,117.5297,117.533,0,,($72.10),($1.28),
USD/SEK,+10000,8.28459,8.284645,0,0.00%,($9.08),($7.25),($207.19)
USDollar/Swedish Krona Spot,+10000,8.28459,8.284645,0,,($9.08),($7.25),
USD/THB,0,.00,32.687,0,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.687,0,,$0.00,$0.00,

FOREX CASH WITH UPL,"$9,940.71"
AVAILABLE DOLLARS,"$8,728.77"
