This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 1/31/15 23:36:44

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-16.66,.06,.01,.05,-1.46%,$25.00,$0.00,($460.04)
APPLE INC COM,0,,.00,117.16,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,48,6.45,5.80,0,-58.53,-3.25,4.43,-16.86,,$65.00,$0.00,
100 MAR 15 120 CALL,+1,48,3.80,3.40,0,41.87,3.31,-4.42,16.91,,($40.00),$0.00,
EBAY,,,,,,-33.79,-5.23,.96,-4.37,-1.78%,$49.00,$0.00,($407.28)
EBAY INC COM,0,,.00,53.00,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,48,1.33,.945,0,-68.35,-16.94,3.21,-14.40,,$77.00,$0.00,
100 MAR 15 57.5 CALL,+2,48,.53,.39,0,34.55,11.71,-2.25,10.03,,($28.00),$0.00,
EWU,+200,,18.33,18.04,0,200.00,.00,.00,.00,-1.80%,($58.00),$0.00,"$3,066.80"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.04,0,200.00,.00,.00,.00,,($58.00),$0.00,
GLD,,,,,,27.11,-1.33,.86,-4.85,+2.23%,$72.00,$0.00,($7.78)
SPDR GOLD TR GOLD SHS ETF,0,,.00,123.45,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,48,4.35,5.975,0,144.13,8.10,-5.81,30.41,,$325.00,$0.00,
100 MAR 15 122 CALL,-2,48,2.81,4.075,0,-117.02,-9.43,6.67,-35.25,,($253.00),$0.00,
JPM,,,,,,42.68,-2.59,.11,-1.07,-2.32%,($69.37),$0.00,($471.72)
JP MORGAN CHASE & CO COM,0,,.00,54.38,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,48,.76,1.1461095,0,-68.33,15.33,-3.83,14.60,,$77.22,$0.00,
100 MAR 15 55 PUT,-2,48,1.46,2.192947,0,111.01,-17.93,3.94,-15.67,,($146.59),$0.00,
PG,,,,,,76.04,-6.61,1.31,-9.67,-1.61%,($104.50),$0.00,"$7,169.12"
PROCTER GAMBLE CO COM,+100,,85.74,84.29,0,100.00,.00,.00,.00,,($145.00),$0.00,
